ID_TELA,ID_REFERENCIA,USO_EN_PRENDA,CODIGO_TELA,DESCRIPCION_TELA,ANCHO,TELA_FOTO_URL,CONSUMO_BASE,ACTIVO,FECHA_CAMBIO,MOTIVO_CAMBIO,TELA_REEMPLAZO_ID,ORDEN
1,1,TELA LUCIR,,,,,,TRUE,,,,1
2,2,TELA LUCIR,TE00008887,,,,,TRUE,,,,1
3,2,TELA FORRO,TEN0007502,,,,,TRUE,,,,2
4,2,FUSIONABLE,TEN0002393,,,,,TRUE,,,,3
5,3,TELA LUCIR,TE00008887,,,,,TRUE,,,,1
6,3,TELA FORRO,TEN0007502,,,,,TRUE,,,,2
7,3,SESGOS FORRO,TEN0007502,,,,,TRUE,,,,3
8,3,FUSIONABLE,TEN0002393,,,,,TRUE,,,,4
9,3,SESGOS LUCIR,TE00008887,,,,,TRUE,,,,5
10,5,TELA LUCIR,TEN0007174,,,,,TRUE,,,,1
11,5,TELA FORRO,TEN0007174,,,,,TRUE,,,,2
12,5,SESGOS LUCIR,TEN0007174,,,,,TRUE,,,,3
13,7,TELA LUCIR,TEN0007502,,,,,TRUE,,,,1
14,7,SESGOS FORRO,TEN0007502,,,,,TRUE,,,,2
15,9,TELA LUCIR,TE00011438,,,,,TRUE,,,,1
16,9,SESGOS LUCIR 2,TEN0007433,,,,,TRUE,,,,2
17,9,TELA FORRO,TE00011282,,,,,TRUE,,,,3
18,9,FUSIONABLE,TEN0002394,,,,,TRUE,,,,4
19,10,TELA LUCIR,TE00000350,,,,,TRUE,,,,1
20,10,TELA FORRO,TEN0003152,,,,,TRUE,,,,2
21,12,TELA LUCIR,TE00012456,,,,,TRUE,,,,1
22,12,FUSIONABLE,TEN0002393,,,,,TRUE,,,,2
23,12,TELA FORRO,,,,,,TRUE,,,,3
24,15,TELA LUCIR,TE00009330,,,,,TRUE,,,,1
25,15,TELA FORRO,TEN0003152,,,,,TRUE,,,,2
26,15,SESGOS FORRO,TEN0003152,,,,,TRUE,,,,3
27,15,SESGOS FORRO,TEN0003152,,,,,TRUE,,,,4
28,16,TELA LUCIR,TE00009485,,,,,TRUE,,,,1
29,16,TELA FORRO,TEN0007434,,,,,TRUE,,,,2
30,16,SESGOS LUCIR,TE00009485,,,,,TRUE,,,,3
31,17,TELA LUCIR,TE00009485,,,,,TRUE,,,,1
32,17,TELA FORRO,TEN0007434,,,,,TRUE,,,,2
33,18,TELA LUCIR,TE00009340,,,,,TRUE,,,,1
34,18,TELA LUCIR 2,TEN0007435,,,,,TRUE,,,,2
35,18,TELA FORRO,TEN0007433,,,,,TRUE,,,,3
36,18,FUSIONABLE,TEN0002393,,,,,TRUE,,,,4
37,19,TELA LUCIR,TE00011435,,,,,TRUE,,,,1
38,19,SESGOS LUCIR 2,TEN0007433,,,,,TRUE,,,,2
39,19,TELA FORRO,TEN0006026,,,,,TRUE,,,,3
40,19,FUSIONABLE,TEN0002393,,,,,TRUE,,,,4
41,20,TELA LUCIR,TE00012466,,,,,TRUE,,,,1
42,20,TELA LUCIR 2,TE00012522,,,,,TRUE,,,,2
43,20,FUSIONABLE,TEN0002393,,,,,TRUE,,,,3
44,21,TELA LUCIR,TE00012480,,,,,TRUE,,,,1
45,21,SESGOS LUCIR,TE00012480,,,,,TRUE,,,,2
46,21,TELA FORRO,TEN0007502,,,,,TRUE,,,,3
47,21,SESGOS FORRO,TEN0007502,,,,,TRUE,,,,4
48,23,TELA LUCIR,TE00012546,,,,,TRUE,,,,1
49,23,SESGOS FORRO,TEN0007502,,,,,TRUE,,,,2
50,24,TELA LUCIR,TE00012470,,,,,TRUE,,,,1
51,24,TELA FORRO,TEN0007409,,,,,TRUE,,,,2
52,24,SESGOS FORRO,TEN0007409,,,,,TRUE,,,,3
53,25,TELA LUCIR,TE00012465,,,,,TRUE,,,,1
54,25,SESGOS LUCIR,TE00012465,,,,,TRUE,,,,2
55,25,TELA FORRO,TEN0007409,,,,,TRUE,,,,3
56,25,FUSIONABLE,TEN0002393,,,,,TRUE,,,,4
57,25,TELA LUCIR 2,TE00012557,,,,,TRUE,,,,5
58,25,SESGOS FORRO,TEN0007409,,,,,TRUE,,,,6
59,26,TELA LUCIR,TE00012469,,,,,TRUE,,,,1
60,29,TELA LUCIR,TE00012483,,,,,TRUE,,,,1
61,29,TELA LUCIR 2,TE00004636,,,,,TRUE,,,,2
62,29,TELA LUCIR 3,TE00000027,,,,,TRUE,,,,3
63,29,TELA LUCIR 4,TE00012518,,,,,TRUE,,,,4
64,29,SESGOS FORRO,TEN0007502,,,,,TRUE,,,,5
65,29,FUSIONABLE,TEN0002393,,,,,TRUE,,,,6
66,29,FUSIONABLE 2,TEN0002394,,,,,TRUE,,,,7
67,31,TELA LUCIR,TE00011849,,,,,TRUE,,,,1
68,31,TELA FORRO,TEN0007502,,,,,TRUE,,,,2
69,31,SESGOS FORRO,TEN0007502,,,,,TRUE,,,,3
70,31,FUSIONABLE,TEN0002393,,,,,TRUE,,,,4
71,31,SESGOS LUCIR,TE00011849,,,,,TRUE,,,,5
72,31,SESGOS FUSIONABLE,TEN0002393,,,,,TRUE,,,,6
73,32,TELA LUCIR,TE00010258,,,,,TRUE,,,,1
74,32,SESGOS FORRO,TEN0007502,,,,,TRUE,,,,2
75,32,SESGOS FORRO,TEN0007502,,,,,TRUE,,,,3
76,33,TELA LUCIR,TE00012479,,,,,TRUE,,,,1
77,33,TELA LUCIR 2,TE00012521,,,,,TRUE,,,,2
78,33,TELA FORRO,TEN0007409,,,,,TRUE,,,,3
79,33,FUSIONABLE,TEN0002393,,,,,TRUE,,,,4
80,33,SESGOS FORRO,TEN0007409,,,,,TRUE,,,,5
81,35,TELA LUCIR,TE00012520,,,,,TRUE,,,,1
82,35,FUSIONABLE,TEN0002393,,,,,TRUE,,,,2
83,35,SESGOS LUCIR,TE00012520,,,,,TRUE,,,,3
84,37,TELA LUCIR,TE00011437,,,,,TRUE,,,,1
85,37,SESGOS LUCIR 2,TEN0007433,,,,,TRUE,,,,2
86,37,TELA FORRO,TEN0003651,,,,,TRUE,,,,3
87,37,FUSIONABLE,TEN0002394,,,,,TRUE,,,,4
88,39,TELA LUCIR,TE00009495,,,,,TRUE,,,,1
89,39,FUSIONABLE,TEN0002394,,,,,TRUE,,,,2
90,40,TELA LUCIR,TE00009495,,,,,TRUE,,,,1
91,40,SESGOS LUCIR,TEN0007435,,,,,TRUE,,,,2
92,40,SESGOS LUCIR,TEN0007435,,,,,TRUE,,,,3
93,41,TELA LUCIR,TE00011438,,,,,TRUE,,,,1
94,41,TELA FORRO,TEN0007464,,,,,TRUE,,,,2
95,41,SESGOS LUCIR 2,TEN0007433,,,,,TRUE,,,,3
96,41,FUSIONABLE,TEN0002394,,,,,TRUE,,,,4
97,42,TELA LUCIR,TE00012474,,,,,TRUE,,,,1
98,42,TELA LUCIR 2,TE00012518,,,,,TRUE,,,,2
99,42,SESGOS LUCIR,TE00012474,,,,,TRUE,,,,3
100,42,FUSIONABLE,TEN0002394,,,,,TRUE,,,,4
101,44,TELA LUCIR,TE00009643,,,,,TRUE,,,,1
102,44,TELA LUCIR 2,TE00011282,,,,,TRUE,,,,2
103,44,TELA FORRO,TEN0007435,,,,,TRUE,,,,3
104,44,FUSIONABLE,TEN0002393,,,,,TRUE,,,,4
105,45,TELA LUCIR,TE00011282,,,,,TRUE,,,,1
106,45,TELA LUCIR 2,TE00009643,,,,,TRUE,,,,2
107,46,TELA LUCIR,TEN0003527,,,,,TRUE,,,,1
108,46,TELA LUCIR 2,TEN0007435,,,,,TRUE,,,,2
109,46,SESGOS FORRO,TEN0007435,,,,,TRUE,,,,3
110,46,TELA FORRO,TEN0003152,,,,,TRUE,,,,4
111,48,TELA LUCIR,TE00012441,,,,,TRUE,,,,1
112,48,TELA FORRO,TEN0003152,,,,,TRUE,,,,2
113,48,SESGOS FORRO,TEN0003152,,,,,TRUE,,,,3
114,48,SESGOS FUSIONABLE,TEN0002394,,,,,TRUE,,,,4
115,48,SESGOS FORRO,TEN0003152,,,,,TRUE,,,,5
116,49,TELA LUCIR,TE00010258,,,,,TRUE,,,,1
117,49,TELA LUCIR 2,TEN0007502,,,,,TRUE,,,,2
118,50,TELA LUCIR,TE00009495,,,,,TRUE,,,,1
119,50,SESGOS LUCIR,TE00009495,,,,,TRUE,,,,2
120,50,SESGOS LUCIR 2,TEN0007435,,,,,TRUE,,,,3
121,50,FUSIONABLE,TEN0002394,,,,,TRUE,,,,4
